package,zip_file,zip_path,json_files,category_id,category_name,category_name_norm,label_kind,box_count,image_count,corresponding_source
TL1,TL1.zip.part0,datasets/raw/aihub_banner/138.종합_민원_이미지_AI데이터/라벨링데이터/TL1.zip.part0,204000,21,엑스배너(낮),엑스배너(낮),xbanner,51084,24000,TS1.zip
TL1,TL1.zip.part0,datasets/raw/aihub_banner/138.종합_민원_이미지_AI데이터/라벨링데이터/TL1.zip.part0,204000,31,간이표지판(낮),간이표지판(낮),other,50350,24000,TS1.zip
TL1,TL1.zip.part0,datasets/raw/aihub_banner/138.종합_민원_이미지_AI데이터/라벨링데이터/TL1.zip.part0,204000,22,엑스배너(밤),엑스배너(밤),xbanner,50029,24000,TS1.zip
TL1,TL1.zip.part0,datasets/raw/aihub_banner/138.종합_민원_이미지_AI데이터/라벨링데이터/TL1.zip.part0,204000,32,간이표지판(밤),간이표지판(밤),other,49717,24000,TS1.zip
TL1,TL1.zip.part0,datasets/raw/aihub_banner/138.종합_민원_이미지_AI데이터/라벨링데이터/TL1.zip.part0,204000,29,간이의자(낮),간이의자(낮),other,34211,20000,TS1.zip
TL1,TL1.zip.part0,datasets/raw/aihub_banner/138.종합_민원_이미지_AI데이터/라벨링데이터/TL1.zip.part0,204000,23,비활성에어간판(낮),비활성에어간판(낮),other,31005,20000,TS1.zip
TL1,TL1.zip.part0,datasets/raw/aihub_banner/138.종합_민원_이미지_AI데이터/라벨링데이터/TL1.zip.part0,204000,30,간이의자(밤),간이의자(밤),other,21043,12000,TS1.zip
TL1,TL1.zip.part0,datasets/raw/aihub_banner/138.종합_민원_이미지_AI데이터/라벨링데이터/TL1.zip.part0,204000,28,간이테이블(밤),간이테이블(밤),other,18054,12000,TS1.zip
TL1,TL1.zip.part0,datasets/raw/aihub_banner/138.종합_민원_이미지_AI데이터/라벨링데이터/TL1.zip.part0,204000,27,간이테이블(낮),간이테이블(낮),other,18019,12000,TS1.zip
TL1,TL1.zip.part0,datasets/raw/aihub_banner/138.종합_민원_이미지_AI데이터/라벨링데이터/TL1.zip.part0,204000,24,비활성에어간판(밤),비활성에어간판(밤),other,15245,10000,TS1.zip
TL1,TL1.zip.part0,datasets/raw/aihub_banner/138.종합_민원_이미지_AI데이터/라벨링데이터/TL1.zip.part0,204000,26,활성에어간판(밤),활성에어간판(밤),other,15040,12000,TS1.zip
TL1,TL1.zip.part0,datasets/raw/aihub_banner/138.종합_민원_이미지_AI데이터/라벨링데이터/TL1.zip.part0,204000,25,활성에어간판(낮),활성에어간판(낮),other,11557,10000,TS1.zip
TL2,TL2.zip.part0,datasets/raw/aihub_banner/라벨링데이터/TL2.zip.part0,160000,9,가로현수막(낮),가로현수막(낮),banner,69830,40000,TS2.zip
TL2,TL2.zip.part0,datasets/raw/aihub_banner/라벨링데이터/TL2.zip.part0,160000,10,가로현수막(밤),가로현수막(밤),banner,69636,40000,TS2.zip
TL2,TL2.zip.part0,datasets/raw/aihub_banner/라벨링데이터/TL2.zip.part0,160000,11,세로현수막(낮),세로현수막(낮),banner,68702,40000,TS2.zip
