epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4594.67,1.85689,2.42316,1.46334,0.28728,0.24647,0.14429,0.06618,1.96043,2.48897,1.55741,0.000333111,0.000333111,0.0670221
2,7084.26,1.83889,2.24769,1.46047,0.34882,0.29539,0.22856,0.11085,1.93225,2.35311,1.56781,0.000664637,0.000664637,0.0340203
3,11383.5,1.79158,2.15056,1.44171,0.38711,0.33459,0.27779,0.15128,1.78322,2.18079,1.48238,0.000988963,0.000988963,0.00101124
4,14426.5,1.74463,2.07122,1.40169,0.39591,0.35717,0.2887,0.14864,1.76238,2.09993,1.44969,0.000975773,0.000975773,0.000975773
5,17623.5,1.69284,1.99494,1.37239,0.46589,0.39542,0.34651,0.19096,1.68097,1.92709,1.39693,0.000957205,0.000957205,0.000957205
6,21820.9,1.65808,1.91168,1.35233,0.46906,0.39417,0.34359,0.17636,1.74202,1.95575,1.44658,0.000933683,0.000933683,0.000933683
7,25029.8,1.62548,1.86097,1.33163,0.47402,0.39762,0.34977,0.18348,1.71494,1.92788,1.41016,0.000905463,0.000905463,0.000905463
8,28541.7,1.5935,1.81986,1.30934,0.46282,0.41925,0.37349,0.20684,1.65045,1.85702,1.37877,0.000872857,0.000872857,0.000872857
9,30607.3,1.58087,1.77807,1.3047,0.51102,0.42176,0.38601,0.21465,1.61901,1.84679,1.36795,0.00083622,0.00083622,0.00083622
10,34375.7,1.56619,1.74577,1.29748,0.52552,0.42476,0.40657,0.22907,1.60154,1.74772,1.34816,0.000795954,0.000795954,0.000795954
11,36768.4,1.5405,1.69501,1.28385,0.52314,0.45124,0.41844,0.23791,1.58951,1.70583,1.32826,0.0007525,0.0007525,0.0007525
12,39335.7,1.5276,1.6677,1.26666,0.52102,0.45093,0.4172,0.23617,1.58579,1.72398,1.3326,0.000706335,0.000706335,0.000706335
13,50514,1.50227,1.63372,1.25238,0.55082,0.4572,0.43389,0.24377,1.57294,1.69404,1.3226,0.000657963,0.000657963,0.000657963
14,53611.3,1.48992,1.60282,1.24473,0.52267,0.47068,0.43029,0.24927,1.5372,1.68015,1.29316,0.000607916,0.000607916,0.000607916
15,55729.4,1.47208,1.5773,1.23355,0.53191,0.48291,0.4332,0.25623,1.50509,1.64372,1.28005,0.000556742,0.000556742,0.000556742
16,64140.8,1.46951,1.53831,1.23052,0.55502,0.47873,0.45034,0.26558,1.50113,1.6015,1.27691,0.000505,0.000505,0.000505
17,80513.2,1.45025,1.53158,1.21659,0.56025,0.47541,0.45459,0.25779,1.53953,1.60984,1.28847,0.000453258,0.000453258,0.000453258
18,83074.2,1.42631,1.48678,1.20103,0.55065,0.49138,0.46123,0.26899,1.52338,1.58361,1.269,0.000402084,0.000402084,0.000402084
19,85727.5,1.4173,1.45234,1.19178,0.56313,0.49765,0.47134,0.2752,1.49824,1.55106,1.25474,0.000352037,0.000352037,0.000352037
20,88193.8,1.40784,1.4507,1.18868,0.57137,0.49765,0.47701,0.28374,1.46916,1.52666,1.25483,0.000303665,0.000303665,0.000303665
21,90615.4,1.38634,1.42058,1.18514,0.58857,0.4942,0.47801,0.28562,1.48688,1.52437,1.25923,0.0002575,0.0002575,0.0002575
22,93428.3,1.37653,1.39455,1.17219,0.57796,0.50455,0.49678,0.29391,1.46588,1.5014,1.25359,0.000214046,0.000214046,0.000214046
23,96271.2,1.36103,1.36096,1.16265,0.59698,0.50329,0.4961,0.29389,1.48391,1.4864,1.2477,0.00017378,0.00017378,0.00017378
24,99648.2,1.36383,1.35821,1.16753,0.59498,0.51489,0.49804,0.29632,1.45926,1.47471,1.23802,0.000137143,0.000137143,0.000137143
25,101606,1.34753,1.33869,1.15563,0.59189,0.51164,0.50085,0.29724,1.45693,1.46637,1.2392,0.000104537,0.000104537,0.000104537
26,104461,1.29772,1.23273,1.14307,0.59073,0.51642,0.50665,0.30111,1.46994,1.45461,1.24334,7.63174e-05,7.63174e-05,7.63174e-05
27,109190,1.28106,1.20871,1.13647,0.58833,0.52869,0.51064,0.30633,1.44352,1.44365,1.22777,5.2795e-05,5.2795e-05,5.2795e-05
28,111229,1.28266,1.20019,1.13702,0.59659,0.53006,0.51268,0.30668,1.4529,1.43726,1.23185,3.4227e-05,3.4227e-05,3.4227e-05
29,125069,1.27928,1.18761,1.13242,0.59113,0.54249,0.51769,0.30859,1.45032,1.43121,1.2313,2.08169e-05,2.08169e-05,2.08169e-05
30,128114,1.27182,1.18337,1.13185,0.59371,0.54312,0.51752,0.30921,1.45109,1.42988,1.23267,1.27117e-05,1.27117e-05,1.27117e-05
